pro;prо̄  (+ abl.) shows position in front of or replacement of something: in exchange for, in place of, as a replacement for
ve;-ve enclitic particle indicating an inclusive option: enclitic particle indicating an inclusive option
ne;nē negative adverb used with imperative and subjunctive: not, lest
nondum;nо̄ndum indicates that something is not true but may be in the future
statim;statim with no time intervening: immediately, immediately thereupon, without delay
tum;tum demonstrative of time: at that time, then, thereupon
quid;quid question asking for the cause: what for, why, for what reason, to what end
antequam;antequam before the time when: before
at;at conjunction introducing a subordinate clause in contrast to the main clause: but, however
si;sī introduces a positive condition: if, should it happen that
nisi;nisī introduces a negative condition: if not, unless
fretum;fretum, ī, n. a narrow sea situated between two land masses: a strait, channel, sound
animus;"animus, ī, m. the center of a person's reason and emotion: the mind, intellect; the heart, spirit, attitude, disposition, mood, etc. for example: animo laeto est  - in a cheerful mood animo aequo est  - with a calm disposition vis animi  - the abilities of the intellect animo cogitare  - to think over in one's mind"
turba;turba, ae, f. a large, disordered group: a crowd, hubbub, throng
fama;"fāma, ae, f report spread by word of mouth: (in a good sense) news, word, report; (in a bad sense) rumor, gossip, talk"
libellus;libellus, ī, m. any kind of small scroll or book: a booklet, pamphlet, poster, bulletin, program, etc.
dictum;dictum, ī, n. that which has been said: a saying, a quote
princeps;"prīnceps, prīncipis, m. that which is foremost in any category: a chief, the best one, the leading one, a prominent one; with regard to people, it usually means a prominent, wealthy citizen who has great influence in their city."
tibicen;tībīcen, tībīcinis, m. a player of the  tibiae  (an ancient double flute): a flute player, piper
potestas;potestās, potestātis, f. the ability to accomplish something: power, ability, means examples: in potestate eius esse  - to be in his power in potestatem eius venire  - to come into his power facere ei potestatem conveniendi  - to give him permission to meet
mundus;mundus, ī, m. the universe as a whole: the world, cosmos, universe, all creation, etc.
navicula;nāvicula, ae, f. a small sea vessel: a boat, skiff, dingy, etc.
vigilia;"vigilia, ae, f. (lit.) the keeping of oneself from sleep, especially in order to keep watch over something: a vigil, a watch, wakefulness, watchfulness, sleeplessness; also, used as a 3-hour unit of time for the night"
phantasma;phantasma, phantasmatis, n. the appearance of something but without material substance: an apparition, phantom, ghost, specter, shade, illusion, etc.
tranquillitas;tranquillitās, tranquillitātis, f. a state in which there is little or no motion: a calm, calmness, stillness, tranquillity, lull
vorago;vorāgо̄, vorāginis, f. (lit.) that which swallows up, usually in reference to water: a whirlpool, maelstrom, vortex, abyss, chasm, gulf, etc.
periculum;perīculum, ī, n. a situation in which death or harm is likely : danger, peril, risk, menace, precariousness, etc.
praedo;praedо̄, praedо̄nis, m. one that takes plunder: a plunderer, looter, brigand, highwayman, robber, thug, thief, pirate
peculium;pecūlium, ī, n. property belonging to an individual: private property, independent property, one's own property, an allowance, etc.
caecus;caecus, a, um that cannot see: blind, unseeing
surdus;surdus, a, um that cannot hear: deaf, unhearing
mutus;mūtus, a, um that cannot speak: mute, not speaking, silent
claudus;claudus, a, um that cannot walk or walk properly: lame, crippled, hobbled, limping
universus;ūniversus, a, um that is taken as a whole or in its entirety: whole, entire, all, universal
mortalis;mortālis, is, e (lit.) that is subject to death, but often used to refer to humans in particular: mortal, temporary, earthly, fleshly, human
immortalis;immortālis, is, e (lit.) that is not subject to death, but especially referring to the divine: undying, immortal, eternal, everlasting, divine, heavenly
constans;cо̄nstāns, cо̄nstāntis (lit.) that stands firmly, but especially with the idea of not changing: steadfast, firm, enduring, unchanging, etc.
salvus;salvus, a, um that has escaped from danger without harm: unharmed, unscathed, safe, sound
attentus;attentus, a, um that is focused on something: attentive, intent, heedful, focused
tutus;tūtus, a, um that is not in danger: free of danger, out of harm's way, safe, secure
periculosus;perīculо̄sus, a, um that is full of danger: dangerous, perilous, risky, precarious, insecure
disiungit;disiungo, disiungere, disiunxī, disiunctum to separate what has been joined: to unyoke, separate, disconnect, disjoin, part, detach
eicit;ēicio, ēicere, ēiēcī, ēiectum (lit.) to throw out: to cast out, launch outward, eject (something)
cessat;cesso, cessāre to become idle: to quit, stop, cease, halt, desist, fail
oboedit;oboedio, oboedīre (lit.) to listen to: to obey, harken to, comply with
adorat;adо̄ro, adо̄rāre (lit.) to pray to: to pray to, worship, adore
nascitur;"nāscor, nāscī, --, nātus to come into being: (of people) to be born; (of plants) to come up; (of things) to be generated, produced. "
moritur;morior, morī, --, mortuus, moritūrus to come to the end of one's life: to die, expire, perish, etc.
extendit;extendo, extendere, extendī, extensus (lit.) to stretch out: to stretch out, reach out, stick out, extend
apprehendit;apprehendo, apprehendere, apprehendī, apprehensum (lit.) to grip onto: to grab onto, seize, lay hands on, tackle, arrest
memorat;memoro, memorāre (lit.) to bring to mind, especially by narration: to recall, recount, relate, tell, memorialize
rogat;rogo, rogāre to ask (someone a question): to ask, inquire, question, interrogate
evolvit;ēvolvo, ēvolvere, ēvolvī, ēvolūtus (lit.) to roll out: to unroll, unfurl, open (something rolled or folded)
suscitat;"suscito, suscitāre to cause something to become roused: to wake, rouse (someone from sleep or death); to stir up, incite, provoke (an emotion or reaction)"
tumultuatur;tumultuor, tumultuārī to be in an uproar: to riot, brawl, rumble, be in a ruckus, be disturbed, etc.
regnat;regno, regnāre (of a king) to have in one's domain: to rule, reign, have sovereignty over, govern
versatur;versor, versārī to be or exist (in a location or state of being) for example: in periculo versari  - to be in a state of danger ob oculos versari  - to be right in front of the eyes in discrimine versari -  to be in a state of crisis
suadet;suadeo, suadēre, suasī, suasus to attempt to persuade someone: to urge, advise, exhort, promote, push, recommend, etc. examples: is mihi suadet ut hoc faciam  - he recommends to me that i do this. is mihi suadet hoc verum esse  - he tries to convince me that this is true.
persuadet;persuadeo, persuadēre, persuāsī, persuāsus to successfully lead someone to believe or want to do something: to persuade, convince, win over, etc. examples:  is mihi persuasit ut hoc faciam  - he has convinced me to do this. is mihi persuasit hoc verum esse  - he has convinced me that this is true.
salvat;salvo, salvāre to remove someone from danger: to save, rescue, deliver
perit;pereo, perīre, periī, peritum (lit.) to go or pass through, but almost always with the idea of being destroyed: to pass away, perish, die, be lost, be destroyed, etc.
impendet;"impendeo, impendēre (lit.) to hang over, especially with the idea of danger: to hang over, loom over, overhang, overshadow; be imminent"
pervenit;pervenio, pervenīre, pervēnī, perventum to come all the way [to a place]: to arrive, reach (a destination)
vitat;vīto, vītāre to make an active attempt to stay away from something: to avoid, shun, circumvent, dodge, evade
sperat;spēro, spērāre to have a strong expectation (almost always something good): to expect, hope
servit;servio, servīre to be of service to someone: to serve, be a slave to, be enslaved to
mavult;mālo, mālle, māluī (lit.) to wish more: to prefer, like better
admiratur;admīror, admīrārī (lit.) to marvel at (usually something good): to be amazed at, marvel at, be surprised at, star in admiration
fundus;fundus, ī, m. the lowest portion of a container: bottom
vita;vita, ae, f. the time from birth to death: life, lifetime
lucrum;lucrum, ī, n. the increase of wealth: profit, gain, increase
spes;spes, spei, f. the expectation of future good: hope, expectation
divitiae;dīvitiae, dīvitiārum, f., pl. abundant wealth: riches, great wealth, opulence
iactura;iactūra, ae, f. the deliberate disposal of something: disposal, casting aside, sacrifice
laetitia;laetitia, ae, f. an elation of the spirit: joy, happiness, glee
tristitia;tristitia, ae, f. a depression of the spirit: sadness, depression, gloominess
navigatio;nāvigātio, nāvigātiо̄nis, f. a journey made by sea: voyage, sailing, trip by sea
delphinus;delphīnus, ī, m. small sea mammal: dolphin
fides;fides, fidium, f., pl. ancient stringed instrument: lyre
cantus;cantus, cantūs, m. the act of making music: singing, song, music, playing (of an instrument)
carmen;carmen, carminis, n. what is sung: song, tune, melody
dorsum;dorsum, dorsī, n. the back of an animal: back
maleficium;maleficium, maleficiī, n. a deed that is wicked: evil deed, outrage, injustice, misdeed, scandal, atrocity
salus;salus, salūtis, f. an escape from death or harm: (from danger escape, rescue, (morally) salvation, (from sickness) recovery
fur;fur, fūris, m. one who steals: thief, burglar, pickpocket
furtum;furtum, ī, n. the act of taking something that belongs to another: theft, burglary, larceny
beneficium;beneficium, ī, n. a deed that is good: good deed, benificence, favor, benefit
tyrannus;tyrannus, ī, m. a king with absolute power: absolute monarch, despot, tyrant, king
felicitas;fēlīcitas, fēlīcitātis, f. good fortune: luck, good fortune
invidia;"invidia, ae, f. the opinion that another is unworthy of the good they enjoy: (properly) envy; (loosely) spite, covetousness"
piscator;piscātor, piscātо̄ris, m. a man who catches fish: fisher, fisherman
fortuna;fortūna, ae, f. the amount of good or evil that comes to a person without their merit: fortune, luck, chance occurance
remus;rēmus, ī, m. a wooden tool for propelling a boat: oar, paddle
pretiosus;pretiо̄sus, a, um that has a high cost: costly, expensive, pricey, pretious
mirus;mīrus, a, um that causes amazement: surprising, amazing, odd, remarkable
maestus;maestus, a, um in a state of sadness due to a great loss: grieving, mourning, sad, depressed
felix;fēlīx,  (gen:  fēlīcis ) that enjoys good fortune: lucky, fortunate, blessed
notus;nо̄tus, a, um that is known: known, familiar, recognized
ignarus;ignārus, a, um that does not have knowledge: ignorant, unknowing, unaware, uninformed
nobilis;nо̄bilis, is, e that is known to many: well known, famous, illustrious, distinguished
ignotus;ignо̄tus, a, um that is not known: unknown, unfamiliar, unrecognized
rapidus;rapidus, a, um that moves or acts quickly: quick, swift, fast, speedy
fallax;fallax,  (gen:  fallācis ) that often uses trickery: deceptive, deceiving, fraudulent, tricky, sneaky
velox;vēlox,  (gen:  vēlо̄cis ) that moves or acts quickly: quick, swift, fast, speedy
deterret;deterreo, deterrēre to scare someone such that they do not do something: to deter, discourage, forstall, preclude
adicit;adic(i)o, adicere, adiēcī, adiectum (lit.) to toss onto: to toss on, add, adjoin, append, affix
aestimat;aestimo, aestimāre to guess at or establish a value for something: to value, estimate, price, appraise, assess, evaluate
remanet;remaneo, remanēre, remansī, remansum to not depart when there is an option to depart: to stay behind, stay back, remain, tarry back
queritur;queror, querī, --, questus sum to enumerate the evils one suffers: to complain, whine, whimper, fuss, murmur
amittit;amitto, amittere, amīsī, amissum to lose possession of or use of something: to lose, suffer the loss of, be bereaved of, misplace
eripit;"erip(i)o, eripere, eripuī, ereptum (lit.) to snatch away, especially with the idea of removing from danger: (lit.) to stach away, whisk away; (in a good sense) to rescue, save, liberate"
afficit;affic(i)o, afficere, affēcī, affectum to cause someone or something to be affected by some force, especially an emotion: to affect, influence, move, touch
precatur;precor, precārī to make a request from a humble position: to make a humble request
perturbat;perturbo, perturbāre to through something into great disorder: to rile up, perturb, disquiet, bother, mess with, upset, unsettle
reducit;redūco, redūcere, reduxī, reductum (lit.) to lead or draw back: to lead back, take back, bring back, return
invidet;"invideo, invidēre, invīdī, invīsum to consider someone unworthy of the good they enjoy: (properly) to envy, begrudge; (loosely) to be grudging of, covetous of"
parcit;"parco, parcere, peperci, parcitum to give little (whether of good or bad): (towards people) to be sparing, be lenient, be merciful; (towards things) to use sparingly"
permittit;permitto, permittere, permīsī, permissum to give permission to someone to do something: to allow, permit
permovet;"permoveo, permovēre, permо̄vī, permо̄tum to instill someone with a strong effect: (in a neutral sense) to strongly affect, thoroughly move, stir up; (in a good sense) inspire, kindle, excite; (in a bad sense) to upset, unsettle"
abstinet;abstineo, abstinēre, abstinuī, abstentum to hold back from: to withhold, hold back, keep away, abstain, check, restrain
desilit;desilio, desilīre, desiluī, desultum (lit.) to leap in a downward direction: to jump down, leap down, hop down
desperat;despēro, despērāre to lose hope: to lose hope, despair, give up
allicit;allic(i)o, allicere, allēxī, allectum to cause something to approach: to draw in, allure, attract
subit;subeo, subīre, subiī, subitum to go up from underneath: to go up, go up under, go up from under, come up from below
exponit;expono, exponere, exposuī, expositum to place something out: to lay out, put out, expose, drop off
apparet;appāreo, appārēre to come into view: to come into view, appear
stupet;stupeo, stupēre to have one's mouth open out of amazement, confusion, or sheer lack of intelligence: to gape, be in awe, be shocked, be confused
confitetur;confiteor, confitērī, --, confessus sum to state something (perhaps inconvenient) to be true: to confess, admit, fess up
surripit;surrip(i)o, surripere, surripuī, surreptum to quickly grab something, especially when it belongs to another: to snatch up, steal away, pinch, nick, nab
abicit;abic(i)o, abicere, abiēcī, abiectum (lit.) to cast aside, especially to dispose of : to throw away, toss aside, discard, dispose
detrahit;dētraho, dētrahere, dētraxī, dētractum (lit.) to pull down, especially to remove: to pull off, take off, remove
donat;dо̄no, dо̄nāre to transfer something into the possession of another: to bestow, gift, give
secat;seco, secāre, secuī, sectum, secātum to divide by drawing a sharp instrument across: to slice, cut, sever
recognoscit;recognosco, recognoscere, recognо̄vī, recognītum to realize something perceived is known: to recognize, realize
finit;fīnio, fīnīre to bring an end to: to finish, end, put an end to
appropinquat;appropinqua-t to draw close to: to draw near, approach, come near
balneum;balneum, ī, n. a room equipped with a bath: a bath
hospes;hospes, hospitis, m. either member of the guest/host relationship: a guest, a host
cena;cēna, ae, f. the main meal taken in the early afternoon: dinner, supper
iter;"iter, itineris, n. any kind of journey made over land or sea: journey, trip, march; voyage, flight (of birds), etc."
fames;"famēs, famis, f. either the strong desire for or lack of food: hunger, craving, appetite; famine, starvation"
sitis;"sitis, is, f. the desire for or lack of drink: thirst; drought"
triclinium;trīclinium, ī, n. an arrangement of furniture where three dining couches are adjacent to three sides of a dining table: (no exact equivalent in english) - dining room, dining table, the table
culina;culīna, ae, f. a room designed for the preparation of food: kitchen, cookhouse, scullery
cocus;cocus, ī, m. a servant who prepares food: a cook, chef, baker
minister;"minister, ministrī, m. a servant or inferior who waits on a master or superior (especially at the table): an attendant, assistant; server, waiter"
convivium;convīvium, ī, n. a private dinner party of three, six, or nine guests held at the  triclinium : a dinner party, luncheon, private banquet, private feast, etc.
conviva;convīva, ae, m. a participant in a  convivium : a dinner guest, diner
genus;genus, generis, n. a kind, class, or brand of any sort of thing, whether living or inanimate: kind, type, sort, variety, class, species, genus, breed, race, etc.
vas;vās, vāsis, n. a container of any sort, but especially for food: a container, vessel, dish, pot, barrel, box, crate, etc.
argentum;"argentum, ī, n. the metal silver or sometimes something made of silver: silver; money (in the form of coins), dishes (made of silver)"
holus;holus, holeris, n. food grown in a garden: vegetables, greens, kitchen herbs
nux;nux, nucis, f. the shelled fruit of some trees: a nut
caro;"carо̄, carnis, f. soft tissue in animals or plants: flesh, meat; pulp"
sal;sāl, sālis, m. salt
calida;calida, ae, f. heated water: hot water, boiling water
merum;merum, ī, n. merum  was wine that had not been mixed with water. since the romans drank watered-down wine in such great quantities,  merum  had a reputation for being the drink of drunkards. unmixed wine, pure wine, straight wine, strong drink.
libertinus;lībertīnus, ī, m. one who has been emancipated from slavery: a freed slave, freedman, freeman, libertine
mel;mel, mellis, n. the sugary food produced by bees and major sweetener in roman cuisine: honey
inexpectatus;"inexpectātus, a, um (lit.) that which was not expected: unexpected, sudden, unforeseen; impromptu, spur-of-the-moment"
tardus;"tardus, a, um (lit.) that which moves slowly, but usually that which is late: slow, sluggish; late, unseasonable"
diligens;dīligens, dīligentis (lit.) that values or esteems something, but usually that works hard because of that esteem: diligent, industrious, hardworking
iucundus;iūcundus, a, um that pleases: pleasant, pleasurable, delightful, fun
molestus;molestus, a, um that is not pleasing: displeasing, unpleasant, obnoxious, irritating, no fun
imus;īmus, a, um that is in the lowest position: the lowest, bottom, bottom most
argenteus;argenteus, a, um made out of or colored like silver: silver, of silver, silver-colored
gloriosus;"glо̄riо̄sus, a, um (lit.) that is accustomed to fame and glory, but often with a negative sense: glorious, renowned, famous; pompous, boastful, ostentatious"
acutus;acūtus, a, um that is honed to a point or edge: sharp, honed, cutting, pointed
merus;merus, a, um that is not contaminated by foreign elements: pure, unadulterated, undiluted, unmixed
acerbus;acerbus, a, um that has a sour taste: sour, tart
dulcis;dulcis, is, e that has a sweet taste: sweet, honeyed, sugar-coated
recipit;recipio, recipere, recēpī, receptum (lit.) to take back, but often with a simple meaning of take in: to take in, receive
visit;vīso, vīsere, vīsī, vīsum to go and see: to go see, visit
requiescit;requiesco, requiescere, requiēvī, requiētum (lit.) to remain still: to rest, pause, stop, stay still, recover
fruitur;fruor, fruī, --, fructus sum  (+ abl.) to enjoy the benefit of something good: to enjoy (a good thing), take advantage of (a good thing), benefit from (a good thing), partake of the fruit of (a good thing), reap the benefit of (a good thing)
nuntiat;nuntio, nuntiāre to bring information to someone: to report, announce, bring word, bring news
contrahit;contraho, contrahere, contraxī, contractum (lit.) to draw together into one place: to draw together, gather together, accrue, collect, compile, amass, etc.
praeest;praesum, praeesse, praefuī, praefutūrus (lit.) to be in front of, but often to be in charge of: to be in charge of, be over, command, lead
cenat;cēno, cēnāre to eat the dinner meal: to dine, sup, take supper, eat dinner
eligit;ēligo, ēligere, ēlēgī, ēlectus (lit.) to pick out, usually with the idea of choosing one of many: to choose, pick, select, make one's choice, elect
perfert;perfero, perferre, pertulī, perlatus (lit.) to carry through, especially with the idea of endurance: to endure, put up with, withstand, suffer through, go through
coquit;coquo, coquere, coxī, coctus to prepare food with heat: to cook, roast, bake, sear, fry, etc.
exornat;exorno, exornāre to beautify something by adding some kind of ornament: to do up, dress up, decorate, make fancy, adorn
parat;paro, parāre to make something ready: to prepare, ready, equip, make ready
sternit;sterno, sternere, strāvī, strātum to cause something to lie flat: to lay out, knock over, spread out
accubat;accubo, accubāre, accubuī, accubitum to lie on a couch, especially in order to eat: to recline at the table, sit down to eat, etc.
placet;placeo, placēre  (+ dat.) to cause pleasure for someone: to please, delight, charm, humor
gustat;gusto, gustāre to find out what something's flavor is: to taste, sample, try (a food or drink)
aspergit;aspergo, aspergere , aspersī, aspersus (lit) to sprinkle something with fine particles or droplets of liquid: to sprinkle (something), powder, dust, splash, spray
fundit;"fundo, fundere, fūdī, fūsus to cause to flow out (usually of liquids): to pour, spill, discharge; shed (blood)"
miscet;misceo, miscēre, miscuī, mixtus to mix two different things together: to mix, mingle, combine, fuse, weave, cross
potat;pо̄to, pо̄tāre to drink, imbibe, guzzle, consume (a beverage)
liberat;lībero, līberāre to make free: to free, set free, liberate
apportat;apporto, apportāre to carry to: to bring, carry, deliver, transport
profert;prо̄fero, prо̄ferre, prо̄tulī, prо̄latus to bring forth: to bring out, pull out, draw out
exhaurit;exhaurio, exhaurīre, exhausī, exhaustus to drain completely: to drain, empty
complet;compleo, complēre complēvī, complētus to fill completely: to fill up
potio;pо̄tiо̄, pо̄tiо̄nis, f. that which is drunk: a drink, beverage
rumor;rūmor, rūmо̄ris, m. the talk of the crowd, whether true or false: general opinion, general consensus, talk, rumor, buzz, etc.
memoria;memoria, ae, f. the ability to or the act of remembering: memory, recollection, remembrance, reflection, reminiscence
munus;mūnus, mūneris, n. that which is given, especially out of a sense of duty: a gift, present, grant, courtesy, bequest
fides;"fidēs, fidēī, f. a state of confidence or a quality that inspires confidence : faith, trust, belief, confidence; loyalty, reliability, trustworthiness"
crux;crux, crucis, f. any wooden structure upon which a criminal was hanged or impaled, but especially a cross: a cross, gallows, pike
praemium;praemium, ī, n. a good thing given as a reward: a prize, reward, bonus, bounty, compensation, perk, remuneration, recompense, payment
poena;poena, ae, f. pain or loss inflicted upon someone in return for an evil: a punishment, penalty, sentence, retribution, castigation, chastisement
ius;iūs, iūris, n. that which someone has legal authority to do: a right, license, prerogative, authority, privilege
lex;lēx, lēgis, f. a formal requirement given by a magistrate or governmental body: a law, bill, statue, regulation, proclamation, mandate, etc.
parricida;parricīda, ae, m. one who has killed his father: a parricide
scelus;scelus, sceleris, n. a wicked act that is deemed worthy of punishment: a crime, felony, violation (of the law), atrocity, scandal, illegality
mos;mо̄s, mо̄ris, m. a way in which a person or a people usually lives their life: a custom, practice, tradition, manner
iniuria;iniūria, ae, f. a breach of what is good and just: an injustice, a wrong, offense, inequity, unlawfulness
iuvenis;iuvenis, is, e fully grown but in apex of youth (i.e. between 20 and 40): young, youthful, in the flower of youth
senex;senex, senis older than 40 years (almost always in regard to people): old, elderly, aged, over the hill
nugae;"nūgae, ārum, f. foolish or trivial talk or behavior: foolery, foolishness, absurdity, silliness; nonsense, rubblish, inanity, poppycock, etc."
praesens;praesens, praesentis that is close by or at the same time: present, at hand, nigh, here, at this time
avarus;avārus, a, um that desires something intensely and selfishly: greedy, hungry, avaricious, covetous, grasping, etc.
impatiens;impatiens, impatientis that is unable to put up with something: intolerant, incapable of enduring, averse to, susceptible to, impatient
infelix;īnfelīx, infelīcis that experiences bad luck: unlucky, ill-fated, unfortunate, wretched, accursed
asininus;asinīnus, a, um as or pertaining to a donkey: donkey (as an adjective), ass (as an adjective), asinine
fidus;fīdus, a, um that has the trust of another: trusty, trustworthy, faithful, credible
infidus;infīdus, a, um that does not have the trust of others: untrustworthy, not to be trusted, unsafe, faithless
fugitivus;fugitīvus, a, um that is running away: run-away, fugitive, elusive, fleeing
nimius;nimius, a, um that is beyond what is necessary or useful: excessive, extravagant, undue, immoderate, overmuch, too much
clemens;clēmens, clēmentis that acts leniently: lenient, forgiving, easy, clement, soft
iustus;iūstus, a, um that acts in accordance with justice: just, upright, righteous, morally good
iniustus;iniūstus, a, um that does not act in accordance with justice: unjust, crooked, immoral, unrighteous, wicked, bad (morally)
sapiens;sapiens, sapientis that has good judgement: wise, prudent, discreet, judicious
scelestus;scelestus, a, um as or pertaining to a crime: criminal, unlawful, illegal, shady, villainous
crudelis;crūdēlis, is, e that does not feel the pain of others: heartless, callous, insensitive, cruel, ruthless, merciless, cold
vetus;
invalidus;invalidus, a, um that is not able: weak, feeble, fragile, ineffective, incapable
debilis;dēbilis, is, e that is incapable of normal function, of persons or parts of the body: handicapped, crippled, dysfunctional, damaged, deformed, impaired, etc.
ebrius;ēbrius, a, um intoxicated with wine: inebriated, drunk, tipsy, buzzed, wasted, sloshed, plastered, etc.
optat;"opto, optāre to want something more than other options: to wish for, want, desire; choose, select, opt for"
aufugit;aufugio, aufugere, aufūgī, aufugitum to run away from: to flee from, run from, escape from, take off, make off, take flight, fly the coop
aufert;aufero, auferre, abstulī, ablatum to carry away: to carry off, bear away, make off with
fidit;fīdo, fīdere, --, fīsus sum  (+ dat.) to put one's trust in: to trust, believe in, have confidence in, rely upon, have faith in
confidit;confīdo, confīdere, --, confīsus sum  (+ dat.) to put great trust in: to be very confident in, have complete trust in, rely heavily on
cruciat;crucio, cruciāre to torture in any way, but especially on the rack: to torture, torment, rack, etc.
latet;lateo, latēre to be concealed: to hide, be concealed, be hidden, lie low, hole up, keep out of the way
retrahit;retraho, retrahere, retraxī, retractum (lit.) to drag back: to bring back, drag back, pull back, take back, carry back, etc.
statuit;statuo, statuere, statuī, statūtum to cause something to stand: to set up, stand (something) up, establish, erect, post
ignoscit;ignosco, ignoscere, ignо̄vī, ignо̄tum  (+ dat.) (lit.) to forget for someone, that is, to forgive (something to someone): to forgive, acquit, clear, overlook
odit;--, о̄di, --  (perfect only) (lit.) to have come to hate: to hate, despise, loath
vetat;veto, vetāre, vetuī, vetītum to order that something not be done: forbid, prohibit, ban, etc.
educat;ēduco, ēducāre to bring up (a child): to bring up, raise, educate, rear, foster, etc.
abducit;"abdūco, abdūcere, abdūxī, abductum (lit.) to draw away, but often with the idea of abduction: to take off, take way, draw away, remove, carry off; abduct, kidnap, seduce"
fabulatur;fābulor, fābulārī to tell stories
coram;cо̄ram  (+ abl.) (lit.) before the face of: in the presence of, in the eyes of, before
legio;"legiо̄, legiо̄nis, f. the largest division of troops in the roman army: (lit.) a levy; (generally) a legion, host, army"
cohors;"cohors, cohortis, f. a division of 6 centuries, approximately 500 soldiers in all, commanded by the senior centurion: (lit.) a court; (generally) a cohort, battalion, division"
agmen;agmen, {agminis}, {n}. a long and narrow troop formation with ranks of troops one behind another, appropriate for marches: a (military) column, train
ordo;"о̄rdо̄, о̄rdinis, m. a series of things arranged in a straight line: (of troops) rank, line, row; (in general) a row, line, series, order"
acies;aciēs, aciēī, f. a broad, shallow formation of troops arranged to engage the enemy: battle line, battle array
proelium;proelium, ī, n. a violent contest between individuals or groups: a battle, conflict, combat, contest, violent engagement
imperator;imperātor, imperātо̄ris, m. a high-ranking (often the highest ranking) officer: general, commander-in-chief
aetas;"aetās, aetātis, f. a space of time spanning the duration of a person or group of people: (of one person) age, lifespan, time of life; (of a group of people) generation, age, time, epoch, period"
studium;"studium, ī, n. an earnest desire or a willing and eager application of oneself to some pursuit resulting from such a desire: (the desire itself) eagerness, zeal, passion; (application of self) study, pursuit, exertion, endeavor"
stipendium;"stipendium, ī, n. a regular payment: (to soldiers or employees) salary, pay, wages; (to an authority) tribute, taxes, fees, dues"
virtus;"virtūs, virtūtis, f. those qualities that considered excellent in a man, or in other things: (of man) courage, strength, vigor, bravery, aptness, excellence; (generally) value, worth, power, goodness"
gaudium;gaudium, ī, n. a pleasing yet rational and stable emotion: cum ratione animus movetur placide atque constanter
valetudo;valetudo, valetudinis, f. the state of bodily health: health, wellness
amnis;amnis, amnis, m. a large and consistent flow of water: river, stream, torrent, creak, brook
ratis;"ratis, ratis, f. a make-shift sea vessel made of logs fastened together: (properly) raft, float; (metaphorically) a small boat or ship"
caedes;caedes, caedis, f. (lit.) the act or result of chopping, usually referring to the violent killing of many: slaughter, carnage, butchery, the slain, blood, gore
vulnus;vulnus, vulneris, n. damage (usually physical) done by violence: wound, injury, cut, crack, incision, blow
pax;pax, pacis, f. a state of no hostilities between men or groups of men: peace, truce, armistice, cease fire
legatus;lēgātus, ī, m. one sent on behalf of a state to interact with a foreign people: ambassador, envoy, emissary
idoneus;idо̄neus, a, um that is of a nature conducive to a particular purpose: appropriate, suitable, apt
militaris;mīlitāris, is, e that pertains to a soldier: of a soldier, of war, military, war
publicus;publicus, a, um that pertains to or acts of behalf of the government of a city: official, state, public, city
privatus;prīvātus, a, um that pertains to an individual or an individual's family, not the city: private, personal, individual, nonpublic, privy, privately owned
arduus;"arduus, a, um that which is difficult to climb to: (lit.) steep, lofty, precipitous, sheer, declivitous; (trans.) difficult, dangerous, laborious"
ridiculus;"rīdiculus, a, um that causes laughter: (in a good sense) funny, amusing, jocose, droll; (in a bad sense) silly, absurd, laughable, ridiculous"
ulterior;ulterior, ulterius  (comp. form) that which is on the side most distant: further, farther, distant, yonder, on the other side, on the far side
citerior;citerior, citerius  (comp. only) that is on the side closest: nearer, closer, on this side, on the near side
incolumis;incolumis, is, e that is not impaired by an injury of some sort: uninjured, whole, sound, unharmed, in good condition
otiosus;"о̄tiо̄sus, a, um that has an abundance of free time: (in a good sense) leisurely, at leisure, unoccupied, free of business; (in a bad sense) idle, unemployed, inactive, inert "
dirus;dīrus, a, um that which threatens or indicates likely death and doom: ill-boding, ill-fated, ominous, grim, portentous, baleful, forbidding
horrendus;"horrendus, a, um that which causes people to shudder in fear or disgust: (of fear) dreadful, terrible, appalling, frightful, ghastly, horrendous, etc.; (of disgust) sickening, loathsome, nauseating, repulsive, stomach-turning"
adiungit;adiungo, adiungere, adiunxi, adiunctum to cause something to join something else: to adjoin, connect to, add to, attach to, affix upon, combine to, link to
progreditur;progredior, progredi, --, progressus sum (lit.) to step in a forward direction, but often used more generally: to go forward, go forth, advance, proceed, progress
instruit;instruo, instruere, instruxi, instructum to cause something to be ordered in a particular way: to arrange, organize, set in order, prepare, make ready, furnish
hortatur;hortor, hortārī to raise a person's spirits in face of some difficult trial: to exhort, inspire, encourage, urge
caedit;caedo, caedere, cecīdī, caesum to strike with a swinging motion: caedo, caedere, {cecid}i, {caes}um
circumdat;"circumdo, circumdāre, circumdedī, circumdātum to arrange things in a circle around another object: (of the things placed) to put around, place around, arrange around; (of the thing encircled) to surround, encompass, encircle, enclose"
munit;munio, munīre to cause something to be strengthened against attack: to fortify, reinforce, secure, bolster, protect
commemorat;"commemoro, commemorāre to bring something to mind: (generally) to bring to mind, remind; (with words) to recall, recount"
studet;studeo, studēre to focus one's mind and energy upon something: to give attention to, be busy with, be devoted to, get into, apply oneself to, get excited about
cogit;"cо̄go, cо̄gere, cо̄ēgī, coactum (lit.) to drive by force to one place, but often with the idea of forcing others to do something: (lit.) to drive together, bring together by force; (generally) to compel, coerce, force"
